unique_id,mean,std,e_acf1,trend,linearity,curvature,seasonal_strength,peak,trough,entropy,lumpiness,spike,Vchange,Lchange
Audi S4,-0.7596216368160118,-0.702684304497793,-1.0877880949470675,-1.457746652350193,-0.568336093052616,0.8127177260055741,-0.20750288403098188,-0.8397965670618516,-0.5054501848235462,1.1224485498638908,-0.16736233562756356,0.45669502976987936,-0.4861304559897898,-0.771813739390204
Audi S6,-0.7596216368160118,-0.6969842680801984,-0.8919578216217708,-1.7416286632909328,0.19347933496660039,-0.5031120964300594,-1.9882450033872547,-0.4560484668812704,-0.5054501848235462,1.1344507754247757,2.0007277091391855,4.076905516612027,-0.48579586646404554,-0.771813739390204
Audi Sq8,-0.7575035614527085,-0.6949892634407947,0.9384313058691374,-1.329498894842885,0.39326152761339295,-0.4857948308936844,-1.8245346182558482,1.8464401342022168,-0.5054501848235462,0.865403455392012,1.9196902801150597,1.3877123726996612,-0.48581259594033277,-0.7694881870750107
Audi Tt,-0.7066697527334279,-0.6371406743540143,-0.14033671096785275,-0.07778743377523466,-1.0863723612335163,1.0399517036502632,-0.12271802508718178,-0.4560484668812704,-1.217206567534254,0.45584377841243146,0.9398549131248755,-0.559332899215891,-0.4818644395365502,-0.7183260361407605
Cvi Amarok,-0.5605225526654964,-0.5291623839403089,-0.003080584064780975,-0.38133832908993814,-0.631085033885378,-0.8754284220202738,-0.2968031303056219,-0.4560484668812704,0.9180625805978695,0.5482073033775082,-0.78438872976136,-0.2830446442390401,-0.46337836823917844,-0.553211821762044
Cvi Caddy,0.960255558186312,0.7375824796473008,-0.036899507202987285,-0.5103304907466275,-0.544290885852568,-0.1086578721426034,0.9798505053493981,-0.4560484668812704,0.9180625805978695,0.31628743619534,-0.28925737172802024,-0.28063032961277906,0.8665313492129199,1.1049069789707013
Cvi California,-0.6812528483737876,-0.6226494686101512,-0.611976009902221,1.1825816073238957,0.8435189983135664,-0.6797077153480506,0.08991767875835369,-0.4560484668812704,0.20630619788716167,-1.147519141939749,-0.22778935077469667,-0.6027843914506309,-0.4821990290622945,-0.6904194083584422
Cvi Caravelle,-0.6007659845682602,-0.5240702758466655,-0.6856521428279561,-0.9033096939362806,-0.7619478303283047,0.022308221753667045,-0.10594896419679087,-0.4560484668812704,1.6298189633085773,0.6222102055759102,-0.4722817488701135,0.17839386844754276,-0.45911235178593884,-0.5973973157507146
Cvi Crafter,-0.003468732116714233,-0.15772532643421824,-0.9542896860441891,0.11775642575524317,0.25225002386216877,-0.8081453283620468,0.11625736086895212,-0.4560484668812704,-0.5054501848235462,-0.043572832337842766,-0.772181960541081,-0.24134632942282008,-0.31247849212850576,0.0560828848185721
Cvi Multivan,-0.6600720947407541,-0.618099608116521,-2.293216543191942,-0.6400530000732826,0.10157721903530548,0.7608603235459657,0.40998230144293507,-0.4560484668812704,1.2739407719532234,0.6672527883063059,-0.5624404270516499,-0.5132608383433461,-0.4788364043285644,-0.67414054215209
Cvi Other,0.20833880421362122,0.44402648994485605,-0.27590800359745493,1.6624471915900036,1.5021002525396925,2.2755229287116157,-0.1570673356557811,-0.4560484668812704,-0.8613283761789001,-1.7424244722547377,-1.2125769227610923,-0.6471842753613549,-0.321863728325633,0.011897390829901381
Cvi Transporter,-0.13478940464152223,-0.26185214292299547,-0.9707347632809963,-0.5507567609658095,-0.2560237806453567,-0.0693325776554241,-0.034187310214177605,-0.4560484668812704,0.5621843892425156,0.7859080265928096,-0.6402646385152657,-0.29202480819360815,-0.3499525190118657,-0.09275246335379221
Seat Alhambra,-0.742677033909585,-0.6733612403712883,0.1860450963047515,0.05789783745582057,-1.106658172137682,0.802229542621927,0.7592022192109035,-0.4560484668812704,-1.928962950244962,0.4927051618719392,1.6259968505958993,-0.5718092138192951,-0.48439059045591953,-0.7532093208686584
Seat Arona,-0.2576377757131168,-0.1318256896862939,0.3558337919722109,-0.11534278744538518,0.5083828164707478,-1.149339747807469,0.7177518289269816,-0.4560484668812704,-0.5054501848235462,-0.1876834281495698,-0.5607572002530146,-0.37126253281561467,-0.2701361876455664,-0.2253089453198041
Seat Ateca,-0.3677776946048912,-0.1830973911996161,-0.5183311654592749,-1.377910117430826,-0.2822950120689694,-0.22472830937231555,0.6418405856483693,-0.4560484668812704,-0.5054501848235462,0.7799223118706508,0.03455259616753904,-0.2957403682934193,-0.283770710819646,-0.3485632180250432
Seat Cupra,-0.742677033909585,-0.6447675582792531,-0.6907177024279189,-0.8287328824309358,1.038711266790342,0.7980603896534103,-1.4682586253966616,-0.4560484668812704,-0.14957199346819228,0.7248593836147299,3.77724440822077,4.204942141532352,-0.4817975216314013,-0.7555348731838516
Seat Ibiza,-0.5245152714893394,-0.46966579188585406,0.2166744341498262,-0.2466935263433185,-0.9868741699531057,0.08959236780602879,0.36925986748644196,-0.4560484668812704,-0.14957199346819228,0.7576304430539794,-0.6349258548218079,-0.27737942601114374,-0.44748536576632486,-0.5160029847189529
Seat Leon,-0.44191033232050864,-0.4044439385445567,-0.3528497860027126,-0.3273519848832997,0.4322331577478122,-0.5865206792898641,-0.787696791795484,-0.4560484668812704,0.5621843892425156,0.7928756479055166,0.1530145322017972,0.4221118341986491,-0.42188926704688706,-0.42763199674161173
Seat Mii,-0.7469131846361917,-0.6718619957703291,2.5122215448818896,-1.0992582969465905,-0.10870120048394745,-0.40953619708910566,-1.9220030515453164,-0.4560484668812704,0.20630619788716167,0.49355558026952123,2.6403039706263756,2.083004868990925,-0.48439059045591953,-0.7578604254990448
Seat Other,-0.4482645584104187,-0.2583247437698123,-0.4835900508641067,1.4175526608078073,1.5514929748062598,1.922610734880398,-0.2613400075271079,1.4626920340216356,-1.928962950244962,-1.274438201657474,0.11232374814896483,-0.6370204388476539,-0.4122363592291644,-0.504375223142987
Seat Tarraco,-0.6431274918343273,-0.5438546863318783,-0.7731527657877775,0.21830388021421268,0.9468896724482488,-0.6012885549091358,-0.4500172842367064,-0.4560484668812704,-0.14957199346819228,-0.24906572947642044,0.012253525269326325,-0.3959529868502242,-0.46807935107588566,-0.6485594666849648
Skoda Citigo,-0.7320866570930682,-0.6603041392766822,-0.9059733871574153,-1.3872655435750165,-1.1031379842570455,0.5477965576867044,-1.5329334906106586,0.311447733479892,-0.5054501848235462,0.9448742123462475,0.6772442471041177,1.2405036983314481,-0.48326971554467624,-0.7415815592926925
Skoda Enyaq,-0.6240648135645971,-0.42142961697861825,0.14324478062010396,0.43868007638428563,1.421458705062851,1.1208368026285804,0.09296665566260322,2.613936334563379,1.6298189633085773,0.10218777582358886,1.5453370306124243,-0.0927531951138078,-0.44345356198110625,-0.662512780576124
Skoda Fabia,0.153268844767734,0.2773780196458897,0.9886760239304174,-0.37240265039771403,-1.0595693107944473,0.3817666348270656,1.1102432542808254,-0.4560484668812704,0.5621843892425156,0.31726810914927744,0.20325056805906982,-0.5598226396573027,0.12365895467917032,0.22817375614286797
Skoda Kamiq,-0.5584044773021931,-0.3051993123105526,0.12367075741739744,0.027030498271893633,0.6749882341145077,-0.531907458312489,-0.1145766237564585,-0.4560484668812704,-0.5054501848235462,0.0040246295823732885,1.34662850047516,0.4497977293314681,-0.3910233832969768,-0.5601884787076237
Skoda Karoq,-0.07548329446902828,0.2007525382299687,0.561382046271884,-0.579033127006845,0.10672291733023233,-1.050458052822698,0.03126102979285388,-0.4560484668812704,-0.5054501848235462,0.7325943506902538,0.9706616248357105,0.6053983344211243,0.05458294708926258,-0.02531144621318954
Skoda Kodiaq,0.038892775149352854,-0.05756909303660478,-1.2782795270683072,-0.3676151763774797,-0.4639937321440017,-0.5785793993973394,1.105451077639828,-0.4560484668812704,0.5621843892425156,0.36720962275884184,-0.812590081879564,-0.49157596883143273,-0.19135708380907443,0.09329172186166301
